Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Unnamed: 27,Arena,Attend.,Attend./G,Year,G,MP,FG%,Dist.,Unnamed: 6,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,Unnamed: 20,2P.2,3P.2,Unnamed: 23,%FGA,Md.,Unnamed: 26,%FGA.1,Md..1,Unnamed: 29,%3PA,3P%,Unnamed: 32,Att.,Md..2
14.0,Los Angeles Lakers*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,71.0,17090.0,0.448,14.0,,0.616,0.281,0.17,0.086,0.08,0.384,,0.51,0.656,0.377,0.396,0.404,0.349,,0.502,0.828,,0.064,342.0,,0.27,866.0,,0.198,0.39,,,
15.0,Memphis Grizzlies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,73.0,17570.0,0.45,14.1,,0.609,0.275,0.152,0.101,0.081,0.391,,0.504,0.634,0.391,0.412,0.39,0.365,,0.514,0.822,,0.052,300.0,,0.261,918.0,,0.21,0.418,,,
16.0,Miami Heat*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,73.0,17745.0,0.448,14.7,,0.565,0.257,0.159,0.082,0.068,0.435,,0.525,0.687,0.415,0.373,0.352,0.347,,0.535,0.826,,0.058,344.0,,0.242,875.0,,0.229,0.368,,,
17.0,Milwaukee Bucks*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,73.0,17595.0,0.414,15.4,,0.582,0.221,0.15,0.125,0.085,0.418,,0.457,0.601,0.334,0.397,0.387,0.355,,0.497,0.841,,0.042,245.0,,0.235,737.0,,0.202,0.386,,,
18.0,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,64.0,15560.0,0.477,13.2,,0.647,0.305,0.163,0.097,0.082,0.353,,0.539,0.673,0.395,0.417,0.474,0.363,,0.488,0.777,,0.055,295.0,,0.309,993.0,,0.187,0.407,,,
19.0,New Orleans Pelicans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,72.0,17430.0,0.465,13.3,,0.631,0.319,0.161,0.082,0.07,0.369,,0.526,0.654,0.384,0.39,0.434,0.361,,0.488,0.785,,0.063,373.0,,0.306,1087.0,,0.209,0.422,,,
20.0,New York Knicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,66.0,15965.0,0.463,14.3,,0.594,0.279,0.144,0.092,0.08,0.406,,0.52,0.666,0.377,0.418,0.383,0.381,,0.513,0.804,,0.063,324.0,,0.258,789.0,,0.201,0.415,,,
21.0,Oklahoma City Thunder*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,72.0,17430.0,0.455,13.9,,0.629,0.273,0.178,0.095,0.084,0.371,,0.523,0.667,0.407,0.429,0.406,0.34,,0.472,0.803,,0.055,317.0,,0.293,1013.0,,0.211,0.354,,,
22.0,Orlando Magic*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,73.0,17570.0,0.465,14.2,,0.613,0.26,0.172,0.1,0.082,0.387,,0.529,0.684,0.381,0.445,0.445,0.364,,0.509,0.848,,0.055,309.0,,0.273,935.0,,0.2,0.422,,,
23.0,Philadelphia 76ers*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,73.0,17595.0,0.463,13.5,,0.658,0.277,0.173,0.113,0.094,0.342,,0.52,0.692,0.392,0.4,0.395,0.353,,0.5,0.776,,0.063,352.0,,0.274,953.0,,0.159,0.383,,,
