Rk,Team,G,MP,FG%,Dist.,Unnamed: 6,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,Unnamed: 20,2P.2,3P.2,Unnamed: 23,%FGA,Md.,Unnamed: 26,%FGA.1,Md..1,Unnamed: 29,%3PA,3P%,Year,Unnamed: 32,Att.,Md..2
16.0,Minnesota Timberwolves*,82,19805,0.437,12.6,,0.802,0.278,0.136,0.124,0.263,0.198,,0.46,0.599,0.395,0.352,0.396,0.347,,0.576,0.875,,0.047,301,,0.212,785.0,,0.292,0.387,2003,,,
17.0,New Jersey Nets*,82,19755,0.427,12.4,,0.817,0.283,0.126,0.15,0.257,0.183,,0.442,0.564,0.382,0.37,0.378,0.359,,0.541,0.814,,0.044,259,,0.209,674.0,,0.234,0.386,2003,,,
18.0,New Orleans Hornets*,82,19905,0.438,11.2,,0.846,0.332,0.126,0.166,0.223,0.154,,0.457,0.566,0.4,0.38,0.383,0.338,,0.535,0.834,,0.04,248,,0.271,895.0,,0.275,0.345,2003,,,
19.0,New York Knicks,82,19855,0.457,11.5,,0.837,0.293,0.17,0.158,0.217,0.163,,0.48,0.64,0.413,0.396,0.376,0.34,,0.546,0.872,,0.047,293,,0.22,837.0,,0.254,0.393,2003,,,
20.0,Orlando Magic*,82,19805,0.455,12.0,,0.817,0.298,0.132,0.147,0.24,0.183,,0.483,0.644,0.394,0.388,0.389,0.334,,0.568,0.886,,0.049,303,,0.221,868.0,,0.273,0.379,2003,,,
21.0,Philadelphia 76ers*,82,19855,0.452,12.2,,0.799,0.29,0.142,0.168,0.199,0.201,,0.476,0.602,0.419,0.375,0.419,0.354,,0.594,0.817,,0.041,239,,0.226,779.0,,0.218,0.355,2003,,,
22.0,Phoenix Suns*,82,19805,0.438,12.1,,0.796,0.31,0.119,0.145,0.221,0.204,,0.468,0.607,0.392,0.38,0.371,0.32,,0.587,0.846,,0.053,326,,0.239,872.0,,0.239,0.335,2003,,,
23.0,Portland Trail Blazers*,82,19855,0.45,12.5,,0.804,0.287,0.132,0.117,0.267,0.196,,0.476,0.619,0.407,0.407,0.388,0.341,,0.591,0.877,,0.044,267,,0.219,801.0,,0.278,0.35,2003,,,
24.0,Sacramento Kings*,82,19830,0.42,12.5,,0.836,0.243,0.186,0.126,0.281,0.164,,0.439,0.617,0.363,0.362,0.371,0.32,,0.553,0.836,,0.047,295,,0.173,696.0,,0.237,0.315,2003,,,
25.0,San Antonio Spurs*,82,19830,0.427,11.7,,0.844,0.268,0.192,0.168,0.218,0.156,,0.443,0.572,0.374,0.384,0.391,0.339,,0.51,0.788,,0.044,257,,0.221,738.0,,0.24,0.324,2003,,,
26.0,Seattle SuperSonics,82,19855,0.447,12.7,,0.787,0.259,0.161,0.132,0.235,0.213,,0.475,0.654,0.358,0.402,0.399,0.344,,0.54,0.862,,0.045,263,,0.194,747.0,,0.253,0.386,2003,,,
27.0,Toronto Raptors,82,19805,0.461,10.9,,0.85,0.323,0.174,0.155,0.199,0.15,,0.476,0.606,0.412,0.376,0.397,0.375,,0.534,0.824,,0.051,299,,0.226,826.0,,0.251,0.381,2003,,,
28.0,Utah Jazz*,82,19780,0.434,12.5,,0.803,0.288,0.138,0.119,0.258,0.197,,0.454,0.589,0.38,0.382,0.377,0.349,,0.522,0.902,,0.056,329,,0.21,680.0,,0.255,0.342,2003,,,
29.0,Washington Wizards,82,19830,0.442,12.8,,0.809,0.239,0.166,0.152,0.253,0.191,,0.461,0.663,0.341,0.403,0.384,0.362,,0.578,0.829,,0.038,241,,0.189,752.0,,0.27,0.346,2003,,,
,League Average,82,19842,0.442,12.1,,0.818,0.286,0.15,0.146,0.236,0.182,,0.463,0.603,0.384,0.388,0.389,0.349,,0.56,0.852,,0.047,285,,0.218,779.0,,0.257,0.369,2003,,,
1.0,Atlanta Hawks*,82,19730,0.439,13.0,,0.69,0.291,0.133,0.082,0.183,0.31,,0.483,0.606,0.388,0.402,0.393,0.341,,0.566,0.893,,0.04,248,,0.233,908.0,,0.289,0.362,2015,,,
2.0,Boston Celtics*,82,19880,0.45,12.2,,0.74,0.288,0.172,0.114,0.167,0.26,,0.49,0.643,0.389,0.41,0.385,0.336,,0.509,0.852,,0.041,260,,0.229,957.0,,0.263,0.367,2015,,,
3.0,Brooklyn Nets*,82,19930,0.456,12.4,,0.719,0.3,0.155,0.087,0.176,0.281,,0.494,0.636,0.403,0.41,0.373,0.358,,0.545,0.871,,0.055,337,,0.237,933.0,,0.262,0.385,2015,,,
4.0,Chicago Bulls*,82,19880,0.435,12.3,,0.774,0.282,0.156,0.126,0.21,0.226,,0.465,0.58,0.379,0.426,0.397,0.335,,0.478,0.807,,0.036,230,,0.235,895.0,,0.205,0.377,2015,,,
5.0,Charlotte Hornets,82,19905,0.44,12.8,,0.735,0.265,0.165,0.107,0.199,0.265,,0.47,0.596,0.374,0.407,0.415,0.357,,0.528,0.866,,0.035,213,,0.22,827.0,,0.243,0.387,2015,,,
6.0,Cleveland Cavaliers*,82,19780,0.456,12.3,,0.73,0.284,0.173,0.114,0.16,0.27,,0.497,0.646,0.397,0.368,0.434,0.343,,0.575,0.86,,0.049,302,,0.216,895.0,,0.258,0.379,2015,,,
7.0,Dallas Mavericks*,82,19880,0.45,12.7,,0.706,0.277,0.163,0.101,0.166,0.294,,0.485,0.647,0.348,0.419,0.39,0.364,,0.505,0.848,,0.048,309,,0.208,859.0,,0.277,0.41,2015,,,
8.0,Denver Nuggets,82,19880,0.458,12.4,,0.736,0.293,0.161,0.099,0.183,0.264,,0.498,0.624,0.414,0.441,0.401,0.346,,0.534,0.856,,0.047,294,,0.233,930.0,,0.256,0.364,2015,,,
9.0,Detroit Pistons,82,19830,0.456,12.0,,0.738,0.295,0.179,0.098,0.166,0.262,,0.491,0.649,0.344,0.398,0.425,0.355,,0.565,0.872,,0.041,259,,0.238,984.0,,0.261,0.377,2015,,,
10.0,Golden State Warriors*,82,19730,0.428,12.5,,0.752,0.273,0.168,0.121,0.191,0.248,,0.458,0.616,0.341,0.407,0.366,0.337,,0.508,0.806,,0.043,286,,0.211,847.0,,0.205,0.388,2015,,,
11.0,Houston Rockets*,82,19805,0.443,12.3,,0.731,0.298,0.167,0.092,0.174,0.269,,0.487,0.639,0.379,0.382,0.388,0.322,,0.501,0.836,,0.05,325,,0.237,959.0,,0.275,0.338,2015,,,
12.0,Indiana Pacers,82,19855,0.435,12.6,,0.747,0.27,0.163,0.113,0.202,0.253,,0.465,0.593,0.396,0.394,0.388,0.345,,0.48,0.849,,0.036,227,,0.219,821.0,,0.245,0.398,2015,,,
13.0,Los Angeles Clippers*,82,19730,0.442,13.0,,0.71,0.27,0.159,0.11,0.171,0.29,,0.481,0.622,0.39,0.366,0.414,0.349,,0.584,0.82,,0.05,307,,0.205,784.0,,0.228,0.371,2015,,,
14.0,Los Angeles Lakers,82,19930,0.466,12.2,,0.718,0.316,0.151,0.095,0.157,0.282,,0.507,0.647,0.397,0.392,0.402,0.363,,0.553,0.851,,0.057,355,,0.245,1001.0,,0.259,0.41,2015,,,
15.0,Memphis Grizzlies*,82,19905,0.442,12.8,,0.717,0.278,0.16,0.103,0.177,0.283,,0.478,0.622,0.382,0.412,0.376,0.351,,0.481,0.831,,0.047,289,,0.213,822.0,,0.256,0.39,2015,,,
16.0,Miami Heat,82,19730,0.454,12.5,,0.711,0.3,0.145,0.1,0.165,0.289,,0.495,0.628,0.413,0.401,0.383,0.353,,0.528,0.805,,0.054,317,,0.229,844.0,,0.278,0.384,2015,,,
17.0,Milwaukee Bucks*,82,19930,0.437,12.2,,0.705,0.326,0.138,0.094,0.147,0.295,,0.476,0.588,0.379,0.348,0.401,0.342,,0.546,0.898,,0.046,281,,0.255,929.0,,0.315,0.378,2015,,,
18.0,Minnesota Timberwolves,82,19805,0.487,12.2,,0.726,0.316,0.142,0.093,0.175,0.274,,0.531,0.688,0.426,0.41,0.4,0.367,,0.494,0.875,,0.058,369,,0.243,1065.0,,0.288,0.425,2015,,,
19.0,New Orleans Pelicans*,82,19780,0.456,11.5,,0.764,0.328,0.171,0.104,0.162,0.236,,0.494,0.634,0.379,0.402,0.389,0.335,,0.494,0.797,,0.05,314,,0.265,1050.0,,0.211,0.389,2015,,,
20.0,New York Knicks,82,19855,0.46,12.2,,0.723,0.304,0.163,0.094,0.162,0.277,,0.49,0.612,0.401,0.427,0.389,0.38,,0.499,0.886,,0.053,306,,0.238,871.0,,0.252,0.446,2015,,,
21.0,Oklahoma City Thunder,82,19830,0.44,12.1,,0.717,0.304,0.161,0.105,0.147,0.283,,0.479,0.608,0.372,0.397,0.387,0.343,,0.515,0.846,,0.052,310,,0.234,930.0,,0.259,0.34,2015,,,
22.0,Orlando Magic,82,19755,0.463,12.8,,0.724,0.289,0.142,0.11,0.183,0.276,,0.499,0.642,0.4,0.426,0.395,0.368,,0.548,0.865,,0.056,353,,0.217,849.0,,0.251,0.433,2015,,,
23.0,Philadelphia 76ers,82,19805,0.449,12.1,,0.723,0.308,0.16,0.093,0.162,0.277,,0.487,0.621,0.354,0.402,0.411,0.35,,0.574,0.868,,0.053,317,,0.235,912.0,,0.249,0.4,2015,,,
24.0,Phoenix Suns,82,19880,0.452,11.9,,0.742,0.305,0.178,0.096,0.163,0.258,,0.486,0.644,0.361,0.375,0.394,0.352,,0.491,0.788,,0.05,312,,0.236,1000.0,,0.231,0.414,2015,,,
25.0,Portland Trail Blazers*,82,19855,0.439,12.0,,0.782,0.28,0.174,0.127,0.201,0.218,,0.468,0.605,0.378,0.426,0.382,0.338,,0.476,0.817,,0.038,244,,0.223,911.0,,0.226,0.371,2015,,,
26.0,Sacramento Kings,82,19855,0.456,12.9,,0.71,0.245,0.195,0.093,0.178,0.29,,0.5,0.683,0.427,0.384,0.39,0.349,,0.521,0.833,,0.049,326,,0.192,872.0,,0.259,0.387,2015,,,
27.0,San Antonio Spurs*,82,19955,0.444,11.7,,0.774,0.297,0.18,0.122,0.175,0.226,,0.468,0.606,0.373,0.374,0.396,0.36,,0.501,0.812,,0.041,251,,0.248,952.0,,0.258,0.398,2015,,,
28.0,Toronto Raptors*,82,19855,0.459,12.2,,0.731,0.291,0.182,0.093,0.165,0.269,,0.501,0.637,0.4,0.441,0.405,0.346,,0.539,0.84,,0.051,309,,0.235,923.0,,0.254,0.372,2015,,,
29.0,Utah Jazz,82,19705,0.446,12.3,,0.746,0.261,0.197,0.096,0.193,0.254,,0.474,0.63,0.373,0.43,0.389,0.362,,0.471,0.823,,0.052,299,,0.199,754.0,,0.257,0.396,2015,,,
30.0,Washington Wizards*,82,19955,0.433,13.0,,0.725,0.261,0.161,0.111,0.192,0.275,,0.465,0.614,0.364,0.41,0.381,0.349,,0.487,0.77,,0.038,244,,0.212,796.0,,0.207,0.369,2015,,,
,League Average,82,19840,0.449,12.4,,0.732,0.29,0.164,0.103,0.175,0.268,,0.485,0.627,0.384,0.403,0.394,0.35,,0.52,0.843,,0.047,293,,0.228,903.0,,0.254,0.387,2015,,,
1.0,Atlanta Hawks,82,19855,0.476,11.4,,0.807,0.334,0.13,0.143,0.201,0.193,,0.5,0.609,0.436,0.384,0.441,0.379,,0.546,0.846,,0.063,385,,0.25,827.0,,0.288,0.434,2005,,,
2.0,Boston Celtics*,82,19880,0.444,12.1,,0.794,0.332,0.118,0.121,0.224,0.206,,0.467,0.599,0.355,0.373,0.381,0.356,,0.583,0.857,,0.056,353,,0.259,891.0,,0.293,0.388,2005,,,
3.0,Charlotte Bobcats,82,19880,0.463,11.4,,0.812,0.348,0.127,0.116,0.222,0.188,,0.487,0.594,0.381,0.411,0.42,0.361,,0.539,0.86,,0.066,383,,0.253,851.0,,0.293,0.418,2005,,,
4.0,Chicago Bulls*,82,19830,0.422,12.7,,0.81,0.29,0.104,0.146,0.27,0.19,,0.443,0.551,0.391,0.378,0.381,0.334,,0.569,0.911,,0.041,239,,0.23,745.0,,0.289,0.353,2005,,,
5.0,Cleveland Cavaliers,82,19855,0.452,11.7,,0.826,0.315,0.143,0.142,0.226,0.174,,0.468,0.589,0.348,0.389,0.425,0.376,,0.552,0.855,,0.056,337,,0.235,788.0,,0.261,0.43,2005,,,
6.0,Dallas Mavericks*,82,19730,0.438,11.9,,0.796,0.319,0.138,0.12,0.219,0.204,,0.466,0.593,0.369,0.376,0.39,0.33,,0.536,0.843,,0.052,318,,0.246,854.0,,0.288,0.382,2005,,,
7.0,Denver Nuggets*,82,19755,0.447,12.3,,0.797,0.305,0.13,0.11,0.252,0.203,,0.472,0.608,0.403,0.394,0.379,0.345,,0.555,0.857,,0.05,305,,0.229,826.0,,0.288,0.351,2005,,,
8.0,Detroit Pistons*,82,19955,0.43,12.1,,0.813,0.319,0.105,0.134,0.255,0.187,,0.451,0.562,0.371,0.376,0.384,0.338,,0.542,0.798,,0.045,273,,0.251,811.0,,0.288,0.335,2005,,,
9.0,Golden State Warriors,82,19905,0.458,11.8,,0.819,0.282,0.189,0.124,0.224,0.181,,0.479,0.651,0.349,0.395,0.419,0.363,,0.544,0.887,,0.045,292,,0.224,903.0,,0.264,0.394,2005,,,
10.0,Houston Rockets*,82,19855,0.423,13.2,,0.791,0.257,0.128,0.136,0.271,0.209,,0.446,0.561,0.388,0.402,0.387,0.338,,0.568,0.903,,0.043,244,,0.198,634.0,,0.234,0.392,2005,,,
11.0,Indiana Pacers*,82,19905,0.44,12.0,,0.83,0.291,0.153,0.143,0.243,0.17,,0.456,0.57,0.406,0.386,0.392,0.365,,0.517,0.798,,0.041,236,,0.226,738.0,,0.252,0.381,2005,,,
12.0,Los Angeles Clippers,82,20030,0.444,12.0,,0.801,0.309,0.138,0.127,0.227,0.199,,0.462,0.569,0.413,0.359,0.404,0.368,,0.538,0.854,,0.049,288,,0.236,794.0,,0.23,0.446,2005,,,
13.0,Los Angeles Lakers,82,19780,0.453,12.6,,0.78,0.293,0.127,0.122,0.238,0.22,,0.479,0.587,0.437,0.377,0.422,0.361,,0.586,0.88,,0.051,309,,0.223,821.0,,0.274,0.381,2005,,,
14.0,Memphis Grizzlies*,82,19705,0.432,12.0,,0.805,0.323,0.121,0.119,0.241,0.195,,0.452,0.548,0.374,0.364,0.405,0.351,,0.564,0.845,,0.052,288,,0.247,723.0,,0.284,0.348,2005,,,
15.0,Miami Heat*,82,19980,0.427,12.7,,0.811,0.259,0.141,0.146,0.265,0.189,,0.446,0.566,0.393,0.353,0.408,0.348,,0.512,0.857,,0.04,239,,0.198,670.0,,0.231,0.389,2005,,,
16.0,Milwaukee Bucks,82,19780,0.464,11.9,,0.798,0.322,0.122,0.142,0.212,0.202,,0.494,0.622,0.432,0.427,0.381,0.343,,0.588,0.873,,0.057,356,,0.233,874.0,,0.298,0.346,2005,,,
17.0,Minnesota Timberwolves,82,19755,0.438,12.0,,0.81,0.311,0.134,0.126,0.239,0.19,,0.456,0.579,0.373,0.38,0.381,0.363,,0.555,0.846,,0.053,325,,0.237,818.0,,0.266,0.356,2005,,,
18.0,New Jersey Nets*,82,19905,0.439,12.7,,0.786,0.287,0.121,0.127,0.251,0.214,,0.459,0.556,0.383,0.377,0.425,0.368,,0.562,0.858,,0.042,234,,0.219,675.0,,0.296,0.387,2005,,,
19.0,New Orleans Hornets,82,19930,0.452,12.5,,0.786,0.307,0.111,0.117,0.252,0.214,,0.475,0.596,0.433,0.39,0.385,0.367,,0.558,0.866,,0.049,280,,0.236,796.0,,0.281,0.368,2005,,,
20.0,New York Knicks,82,19880,0.465,11.8,,0.802,0.311,0.146,0.123,0.223,0.198,,0.49,0.62,0.394,0.41,0.415,0.364,,0.52,0.817,,0.053,319,,0.228,821.0,,0.266,0.363,2005,,,
21.0,Orlando Magic,82,19705,0.451,11.8,,0.811,0.323,0.121,0.138,0.228,0.189,,0.477,0.584,0.429,0.374,0.412,0.343,,0.52,0.847,,0.048,305,,0.251,902.0,,0.271,0.363,2005,,,
22.0,Philadelphia 76ers*,82,19855,0.443,13.0,,0.764,0.282,0.109,0.145,0.228,0.236,,0.468,0.605,0.393,0.364,0.4,0.362,,0.585,0.874,,0.046,282,,0.213,741.0,,0.278,0.406,2005,,,
23.0,Phoenix Suns*,82,19780,0.445,12.4,,0.803,0.308,0.112,0.126,0.256,0.197,,0.472,0.602,0.413,0.349,0.401,0.335,,0.47,0.826,,0.051,342,,0.235,955.0,,0.238,0.409,2005,,,
24.0,Portland Trail Blazers,82,19730,0.447,11.5,,0.812,0.332,0.133,0.111,0.236,0.188,,0.471,0.579,0.389,0.39,0.401,0.343,,0.584,0.9,,0.069,397,,0.24,844.0,,0.318,0.387,2005,,,
