year,team,total_salary
2014,Milwaukee Bucks,18370241.3215463
2014,Minnesota Timberwolves,30147530.6580482
2014,New Orleans Pelicans,30145730.1171103
2014,New York Knicks,41451887.2759189
2014,Oklahoma City Thunder,39799344.8917617
2014,Orlando Magic,9966025.58618505
2014,Philadelphia 76ers,23256520.8280101
2014,Phoenix Suns,15905997.5423321
2014,Portland Trail Blazers,31842000.5470215
2014,Sacramento Kings,21320737.752218
2014,San Antonio Spurs,30289587.8143219
2014,Toronto Raptors,41754119.895057
2014,Utah Jazz,22968600.9588086
2014,Washington Wizards,32056891.4254753
2015,Atlanta Hawks,27672095.4243038
2015,Boston Celtics,20014939.0392405
2015,Brooklyn Nets,49909249.5144304
2015,Charlotte Hornets,33330856.4711392
2015,Chicago Bulls,33805956.6506329
2015,Cleveland Cavaliers,32789444.1789873
2015,Dallas Mavericks,36800087.1813924
2015,Denver Nuggets,27619924.0563291
2015,Detroit Pistons,21275059.3618987
2015,Golden State Warriors,36268933.5951899
2015,Houston Rockets,31936630.1477215
2015,Indiana Pacers,36202625.353924
2015,LA Clippers,40758872.3986076
2015,Los Angeles Lakers,34398929.1146835
2015,Maccabi Haifa Maccabi Haifa,395115.276708861
2015,Madrid Real Madrid,883335.12113924
2015,Memphis Grizzlies,41861470.6035443
2015,Miami Heat,34923154.3602532
2015,Milwaukee Bucks,25702602.45
2015,Minnesota Timberwolves,28195686.245443
2015,New Orleans Pelicans,32479240.1518987
2015,New York Knicks,33529609.8858228
2015,Oklahoma City Thunder,36662697.7559494
2015,Orlando Magic,20877872.4063291
2015,Philadelphia 76ers,28230373.9213924
2015,Phoenix Suns,37211701.8486076
2015,Portland Trail Blazers,38372504.9865823
2015,Sacramento Kings,33460850.5692405
2015,San Antonio Spurs,33188560.5397468
2015,Toronto Raptors,36925965.505443
2015,Utah Jazz,28494946.8140506
2015,Washington Wizards,41257881.8136709
2016,Atlanta Hawks,33950854.932
2016,Boston Celtics,29041603.95975
2016,Brooklyn Nets,32158564.195875
2016,Charlotte Hornets,39375609.7375
2016,Chicago Bulls,42835911.21425
2016,Cleveland Cavaliers,49820628.267125
2016,Dallas Mavericks,34978631.20775
2016,Denver Nuggets,23500468.910375
2016,Detroit Pistons,26447182.832625
2016,Golden State Warriors,42920951.459875
2016,Houston Rockets,36226802.47775
2016,Indiana Pacers,32351708.36825
2016,LA Clippers,41655091.168875
2016,Los Angeles Lakers,35202984.9185
2016,Memphis Grizzlies,45314736.76825
2016,Miami Heat,40738665.02475
2016,Milwaukee Bucks,34477872.6855
2016,Minnesota Timberwolves,28986450.972375
2016,New Orleans Pelicans,42020872.46375
2016,New York Knicks,36071772.18175
2016,Oklahoma City Thunder,46382846.171875
2016,Orlando Magic,40591356.233
2016,Philadelphia 76ers,21450138.576875
2016,Phoenix Suns,33195012.947125
2016,Portland Trail Blazers,27602878.599875
2016,Sacramento Kings,34659664.459375
2016,San Antonio Spurs,42825767.361625
2016,Toronto Raptors,36003092.9425
2016,Utah Jazz,29031833.805375
2016,Washington Wizards,38931346.5535
2017,Atlanta Hawks,39882434.896328
2017,Boston Celtics,43062979.5123623
2017,Brooklyn Nets,33954097.0980416
2017,Charlotte Hornets,53458145.605508
2017,Chicago Bulls,41595297.0571603
2017,Cleveland Cavaliers,62427459.5080783
2017,Dallas Mavericks,42254755.1985312
2017,Denver Nuggets,35694314.9997552
2017,Detroit Pistons,49341157.8413709
2017,Golden State Warriors,48569726.9779682
2017,Houston Rockets,39070949.1002448
2017,Indiana Pacers,42422456.2173807
2017,LA Clippers,53488074.5014688
2017,Los Angeles Lakers,49082563.9446757
2017,Memphis Grizzlies,53164922.4413709
2017,Miami Heat,45883936.1175031
2017,Milwaukee Bucks,42660140.1290086
2017,Minnesota Timberwolves,40416378.847246
2017,New Orleans Pelicans,36022064.0184823
2017,New York Knicks,46465848.1899633
2017,Oklahoma City Thunder,50651633.1085679
2017,Orlando Magic,45111448.6648715
2017,Philadelphia 76ers,37305585.0299878
2017,Phoenix Suns,34962480.9641371
2017,Portland Trail Blazers,53632352.7433293
2017,Sacramento Kings,50605317.2529988
2017,San Antonio Spurs,55738052.2526316
2017,Toronto Raptors,59549448.4883721
2017,Utah Jazz,38965118.9144431
2017,Washington Wizards,54824680.4649939
2018,Atlanta Hawks,36984682.186141
2018,Boston Celtics,46062003.7943847
2018,Brooklyn Nets,43170403.0657109
2018,Charlotte Hornets,57461500.558184
2018,Chicago Bulls,36247574.4433692
2018,Cleveland Cavaliers,38463608.5942652
2018,Dallas Mavericks,39911994.3936679
2018,Denver Nuggets,51607245.1973716
2018,Detroit Pistons,47497368.5562724
2018,Golden State Warriors,57048103.1708483
2018,Houston Rockets,55706520.6640382
2018,Indiana Pacers,50279135.9108722
2018,LA Clippers,73616730.3041816
2018,Los Angeles Lakers,55407349.6751494
2018,Maccabi Haifa Maccabi Haifa,1044586.56284349
2018,Memphis Grizzlies,50522852.3892473
2018,Miami Heat,56235379.9593787
2018,Milwaukee Bucks,42377240.6425329
2018,Minnesota Timberwolves,59575451.4740741
2018,New Orleans Pelicans,48847266.20227
2018,New York Knicks,49237090.7066906
2018,Oklahoma City Thunder,66559966.5080048
2018,Orlando Magic,45139154.4318997
2018,Philadelphia 76ers,43444799.4616488
2018,Phoenix Suns,40132237.1039427
2018,Portland Trail Blazers,61263633.4640383
2018,Sacramento Kings,40299766.7189964
2018,San Antonio Spurs,56080383.1157706
2018,Toronto Raptors,61868464.9500597
2018,Utah Jazz,52602447.4611709
2018,Washington Wizards,60096513.5850657
2019,Atlanta Hawks,29802143.1245209
2019,Boston Celtics,56213233.0696519
2019,Brooklyn Nets,37469026.5423543
2019,Charlotte Hornets,54635939.6698475
2019,Chicago Bulls,36199372.8082127
2019,Cleveland Cavaliers,39744961.4555338
2019,Dallas Mavericks,22734970.4423934
2019,Denver Nuggets,52948513.8183027
2019,Detroit Pistons,51654315.4373876
2019,Golden State Warriors,64747933.6001955
2019,Houston Rockets,57873465.684474
2019,Indiana Pacers,44942013.440438
2019,LA Clippers,35539503.8707861
2019,Los Angeles Lakers,41446690.1413375
2019,Memphis Grizzlies,74927570.8582714
2019,Miami Heat,55787950.2598357
2019,Milwaukee Bucks,64351452.9165428
2019,Minnesota Timberwolves,46369736.6374658
2019,New Orleans Pelicans,41872467.6835354
2019,New York Knicks,43081908.4948768
2019,Oklahoma City Thunder,67777525.3440751
2019,Orlando Magic,47022152.2947595
2019,Philadelphia 76ers,68785802.048377
2019,Phoenix Suns,43295495.1840047
2019,Portland Trail Blazers,58656517.602542
2019,Sacramento Kings,45916141.5
2019,San Antonio Spurs,47993010.9940946
2019,Toronto Raptors,51519104.1355495
2019,Utah Jazz,55923387.173993
2019,Washington Wizards,72026703.2771216
2020,Atlanta Hawks,35707134.3486862
2020,Boston Celtics,52743683.2887172
2020,Brooklyn Nets,58726856.7347759
2020,Charlotte Hornets,43176681.7746909
2020,Chicago Bulls,58997020.3746909
2020,Cleveland Cavaliers,42128617.2559892
2020,Dallas Mavericks,59771345.8326121
2020,Denver Nuggets,56211299.9858578
2020,Detroit Pistons,60237433.4954791
2020,Golden State Warriors,46979891.6931607
2020,Houston Rockets,60709907.1046368
2020,Indiana Pacers,61049707.2508887
2020,LA Clippers,61779385.5935471
2020,Los Angeles Lakers,59003253.4305255
2020,Memphis Grizzlies,54800435.2784003
2020,Miami Heat,62207165.5555642
2020,Milwaukee Bucks,62314573.9814142
2020,Minnesota Timberwolves,77512159.6193972
2020,New Orleans Pelicans,54935933.0047141
2020,New York Knicks,51946547.0179289
2020,Oklahoma City Thunder,63703411.3841963
2020,Orlando Magic,63181246.161051
2020,Philadelphia 76ers,59521662.8663833
2020,Phoenix Suns,48511080.3031298
2020,Portland Trail Blazers,53949292.7806414
2020,Sacramento Kings,63488913.6082303
2020,San Antonio Spurs,52136853.0921561
2020,Toronto Raptors,56320201.863408
2020,Utah Jazz,57359964.651932
2020,Washington Wizards,65917729.1756569
