Rk,team,G,MP,FG.,Dist.,X2P,X0.3,X3.10,X10.16,X16.3P,X3P,X2P.1,X0.3.1,X3.10.1,X10.16.1,X16.3P.1,X3P.1,X2P.2,X3P.2,X.FGA,Md.,X.FGA.1,Md..1,X.3PA,X3P.,Att.,Md..2,year
27,san antonio spurs,82,19705,0.484,12.2,0.777,0.264,0.175,0.137,0.201,0.223,0.515,0.667,0.452,0.44,0.421,0.375,0.549,0.905,0.033,206,0.237,1018,0.283,0.373,11,0,2015
28,toronto raptors,82,19780,0.451,12.3,0.713,0.277,0.187,0.111,0.139,0.287,0.483,0.624,0.409,0.394,0.374,0.37,0.4,0.869,0.043,265,0.246,906,0.29,0.413,9,1,2015
29,utah jazz,82,19955,0.449,12.3,0.703,0.282,0.177,0.119,0.126,0.297,0.488,0.633,0.394,0.401,0.378,0.355,0.435,0.821,0.06,363,0.225,825,0.314,0.389,22,0,2015
30,washington wizards,82,19755,0.46,12.9,0.718,0.291,0.129,0.111,0.188,0.282,0.501,0.638,0.41,0.415,0.4,0.358,0.548,0.872,0.039,254,0.255,1067,0.246,0.382,14,1,2015
NA,league average,82,19826,0.452,12.5,0.715,0.293,0.158,0.103,0.162,0.285,0.491,0.624,0.396,0.405,0.398,0.354,0.51,0.836,0.048,304,0.251,982,0.248,0.377,14.7,0.5,2015
1,atlanta hawks,82,19855,0.468,12.3,0.786,0.296,0.167,0.087,0.237,0.214,0.497,0.638,0.435,0.417,0.394,0.36,0.51,0.828,0.057,366,0.219,855,0.388,0.36,18,1,2009
2,boston celtics,82,19780,0.483,11.9,0.772,0.339,0.139,0.107,0.188,0.228,0.523,0.65,0.419,0.423,0.425,0.348,0.585,0.89,0.036,206,0.299,1164,0.214,0.339,11,0,2009
3,charlotte bobcats,82,19880,0.453,11,0.789,0.408,0.098,0.08,0.203,0.211,0.482,0.58,0.398,0.365,0.372,0.346,0.526,0.861,0.056,302,0.333,1129,0.286,0.378,19,1,2009
4,chicago bulls,82,19905,0.451,11.9,0.844,0.331,0.105,0.108,0.3,0.156,0.474,0.575,0.432,0.418,0.398,0.33,0.51,0.884,0.049,302,0.255,915,0.308,0.393,9,0,2009
5,cleveland cavaliers,82,19780,0.485,12.5,0.752,0.339,0.119,0.08,0.214,0.248,0.52,0.667,0.443,0.369,0.387,0.381,0.551,0.762,0.073,427,0.248,966,0.329,0.412,12,1,2009
